title,topicDistribution,dominant_topic
國際,"[0.0008644874799774164,0.9301084465055237,0.06717736372022928,0.0009511839320886541,0.0008985183621809026]",1
政治與政策,"[0.00039353982198214027,0.9983503602623894,0.0004141489098938847,0.0004337670266820139,0.00040818397905246275]",1
國際,"[0.0006720968597271054,0.9127391958074802,0.08515277220153607,0.0007362406851650044,0.0006996944460916926]",1
國際,"[0.0016404069074611423,0.9537212350331342,0.041144953881271006,0.0017968498583991127,0.0016965543197346386]",1
國際,"[0.0008695614364103782,0.9963584466004044,0.0009152422379835705,0.0009519106035934436,0.0009048391216083024]",1
生活,"[0.0008062853669290288,0.7324861712603192,0.26498705808129536,0.0008839382643205944,0.0008365470271357088]",1
健康,"[0.119576715930814,0.00044923650777160216,0.00038539163708117553,0.8792087204722446,0.0003799354520884544]",3
健康,"[0.00034284799357944606,0.0004195087991387843,0.00036011401869532787,0.9448340694027005,0.05404345978588603]",3
健康,"[0.008600971452251544,0.3161368473716001,0.00904304662094211,0.6573020307587161,0.008917103796490087]",3
政治與政策,"[0.0006067254555134082,0.0007431266183263968,0.9973583519672032,0.0006646575042522838,0.0006271384547047396]",2
生活,"[0.0852696798743502,0.9127334399901114,0.000658660116036846,0.000689161172201609,0.0006490588473000821]",1
國際,"[0.0760903171092854,0.46483834059683066,0.3577172746980896,0.0002931897575287437,0.10106087783826558]",1
政治與政策,"[0.0003532173496455641,0.6066887029976763,0.3922049352238249,0.00038711748319375814,0.0003660269456595322]",1
國際,"[0.0008067793509943769,0.5956060969372096,0.14944642679304912,0.2533013232391425,0.000839373679604589]",1
政治與政策,"[0.05025205940208232,0.0003199124531954273,0.9488717073609158,0.00028614242091272473,0.00027017836289364855]",2
國際,"[0.0010632701974369544,0.9955508752693598,0.0011153190319659315,0.0011653910195148335,0.0011051444817226364]",1
生活,"[0.0010728096518096452,0.5796511120687177,0.0011316583217574289,0.0011814259738931819,0.41696299398382214]",1
國際,"[0.0013004069717227258,0.9552778488375617,0.040649090278757294,0.0014232470552567877,0.0013494068567014032]",1
國際,"[0.000992266836289478,0.9958456665481853,0.0010455437481054124,0.001087488316206135,0.0010290345512135306]",1
生活,"[0.0006148184673870266,0.00074967783576681,0.9973260964891758,0.0006725809847993685,0.0006368262228708953]",2
政治與政策,"[0.461698395730178,0.28097198396528605,0.21002857981201886,0.04657130456307276,0.0007297359294444038]",0
健康,"[0.0004035139741701316,0.0004956955367151031,0.00042300132565447577,0.998259496168078,0.0004182929953822306]",3
政治與政策,"[0.04816858558815487,0.0003660045206172156,0.9508294404559651,0.00032688321032126505,0.0003090862249415283]",2
科技資安,"[0.00062754055983748,0.49469354220201744,0.5033402199046607,0.0006873238074185889,0.0006513735260658471]",2
健康,"[0.0006796248069968351,0.0008336018658965918,0.0007134612932600597,0.0007485584699103829,0.9970247535639362]",4
健康,"[0.00033615157119588803,0.00041226967675868777,0.00035333240730253787,0.9985494519233952,0.00034879442134772595]",3
國際,"[0.000519449717071444,0.2123626063128656,0.7860080564096578,0.0005706782127071914,0.0005392093476980851]",2
國際,"[0.000636923197486968,0.07755538791130481,0.9204519642518909,0.0006964219939766946,0.0006593026453406514]",2
